exactmw,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi,Melanin binding Fraction unbound (%)
392.209992756,392.49900000000014,5.0,0.0,6.0,0.0,5.0,29.0,57.0,5.0,0.0,0.375,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,171.04836122730288,45.92,4.0009400000000035,117.16500000000005,17.18772168421435,10.308634817592253,5.809465288610984,5.809465288610984,3.8648660815093705,17.18772168421435,10.308634817592253,5.809465288610984,5.809465288610984,3.8648660815093705,-2.789999999999999,19.52313684177463,8.700760123822908,4.455409559213424,5.857452776718986,0.2
330.173213324,330.4310000000001,3.0,0.0,4.0,0.0,3.0,25.0,47.0,3.0,0.0,0.3181818181818182,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,148.03061023468877,40.17,4.998280000000005,100.33800000000004,14.534361810103153,8.998412806189572,5.250651683633779,5.250651683633779,3.717054742516072,14.534361810103153,8.998412806189572,5.250651683633779,5.250651683633779,3.717054742516072,-2.57,15.928720628856496,6.739699943088353,3.311208675931719,4.2941919006309766,0.2
330.173213324,330.4310000000001,3.0,0.0,4.0,0.0,3.0,25.0,47.0,3.0,0.0,0.3181818181818182,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,148.03061023468877,40.17,4.998280000000005,100.33800000000004,14.534361810103153,8.998412806189572,5.250651683633779,5.250651683633779,3.717054742516072,14.534361810103153,8.998412806189572,5.250651683633779,5.250651683633779,3.717054742516072,-2.57,15.928720628856496,6.739699943088353,3.311208675931719,4.2941919006309766,1.8
365.126322708,365.3850000000001,6.0,2.0,6.0,2.0,6.0,27.0,46.0,6.0,0.0,0.09523809523809523,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,156.13692966783464,84.95,4.443800000000003,103.67660000000002,14.91723861897735,8.15704881336923,3.840755410593804,3.840755410593804,2.416682430675256,14.91723861897735,8.15704881336923,3.840755410593804,3.840755410593804,2.416682430675256,-3.6699999999999995,18.131001981113418,8.139226965133803,4.491506600443477,5.4656422307249155,0.5
284.068473484,284.267,5.0,2.0,2.0,2.0,5.0,21.0,33.0,5.0,0.0,0.0625,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,119.20345562964455,79.9,2.8798000000000017,77.80160000000001,11.16062394671889,6.237342607793758,3.189664321136777,3.189664321136777,2.2171253497080943,11.16062394671889,6.237342607793758,3.189664321136777,3.189664321136777,2.2171253497080943,-2.9499999999999997,13.052605705188398,4.863909706783758,2.0837761914204513,3.023175980394615,0.7
456.19191514400006,456.538,7.0,1.0,6.0,1.0,8.0,31.0,58.0,11.0,0.0,0.6,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,183.67418079532376,78.27000000000001,3.5929000000000033,113.42480000000005,18.670931734793694,11.096502185693007,5.786475653280754,5.786475653280754,3.880098266556281,17.85443515386597,10.110903626039518,4.8387811354503745,4.8387811354503745,3.1306142282025773,-2.1399999999999997,23.521591726312753,9.55707574333154,6.667819511673479,7.25153657200295,5.4
357.19400834399994,357.4500000000001,5.0,0.0,6.0,0.0,5.0,26.0,53.0,5.0,0.0,0.42857142857142855,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,154.9811597898322,40.160000000000004,3.492700000000003,101.87100000000008,16.165628716052808,8.767894610384197,5.147298860186317,5.147298860186317,3.650243052637691,16.165628716052808,8.767894610384197,5.147298860186317,5.147298860186317,3.650243052637691,-2.4,18.392846679687498,7.871432410642302,3.4426176311519745,5.56838651840257,4.6
434.1664711799999,434.4110000000001,8.0,4.0,11.0,3.0,6.0,30.0,55.0,11.0,0.0,0.42105263157894735,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.31633878262068,131.44,2.9133000000000004,103.12600000000006,16.392619938829675,8.808040627342198,3.30986092138912,3.30986092138912,1.9519710667509276,16.392619938829675,8.808040627342198,3.30986092138912,3.30986092138912,1.9519710667509276,-2.9200000000000004,27.08,14.991036087079213,13.289526135022786,13.531908574603502,19.5
352.176248016,352.4,3.0,0.0,4.0,0.0,2.0,25.0,48.0,6.0,1.0,0.5263157894736842,3.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,145.6521809166394,23.550000000000004,3.8054000000000032,90.88700000000006,14.134875034311225,8.816334994806867,4.984216712648588,4.984216712648588,3.6253583167214773,14.134875034311225,8.816334994806867,4.984216712648588,4.984216712648588,3.6253583167214773,-1.82,17.98560551795145,7.601097937619805,4.627564092816723,5.468413960373765,3.0
288.208930136,288.43100000000004,2.0,1.0,0.0,1.0,2.0,21.0,49.0,2.0,0.0,0.8421052631578947,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,127.55103729290713,37.3,3.8792000000000035,82.71680000000005,13.399067481404334,8.869572098848373,7.911977548938119,7.911977548938119,6.531778952076965,13.399067481404334,8.869572098848373,7.911977548938119,7.911977548938119,6.531778952076965,-0.6300000000000001,13.993709230808948,4.439809487732747,1.7756589628303494,2.9585430005485187,20.8
